#{"t_start": 1789746057.7703824, "env_id": "None"}
r,l,t
-323.3,50,343.69194
-237.9,50,344.894088
-109.9,50,345.350042
-223.0,50,345.773349
-103.1,50,346.753708
-217.2,50,347.176271
-91.4,50,347.646794
-89.7,50,348.711837
-247.3,50,349.161244
-289.5,50,350.461086
-93.1,50,350.971131
-104.5,50,351.423873
-301.6,50,352.413315
-361.1,50,352.82606
-75.6,50,353.849027
-286.3,50,354.355869
-375.4,50,354.781633
-97.1,50,355.773013
-95.2,50,356.206457
-297.6,50,357.235583
-238.4,50,357.645425
-100.5,50,358.083433
-64.8,50,359.146395
-102.4,50,359.721182
-313.0,50,360.81124
-119.7,50,361.278278
-293.3,50,361.720092
-221.8,50,362.834008
-121.1,50,363.323846
-96.1,50,363.777923
-114.4,50,364.925591
-150.4,50,365.386435
-77.7,50,366.365155
-86.2,50,366.834427
-174.9,50,367.28337
-296.0,50,368.343892
-114.1,50,368.820711
-97.6,50,369.943143
-297.0,50,370.522602
-118.6,50,370.986613
-114.8,50,372.001039
-88.9,50,372.418913
-189.7,50,373.519142
-211.2,50,374.018229
-152.4,50,374.527054
-81.2,50,375.5634
-254.0,50,376.068819
-122.8,50,376.579369
-99.6,50,377.770248
-73.7,50,378.232705
-128.1,50,379.221686
-92.7,50,379.686605
-140.5,50,380.18331
-102.0,50,381.394697
-89.9,50,381.836788
-245.1,50,382.866068
-118.1,50,383.412537
-179.6,50,383.870384
-284.4,50,385.074218
-223.1,50,385.564301
-88.2,50,386.694586
-107.4,50,387.165936
-246.7,50,387.714877
-112.8,50,388.814668
-193.0,50,389.268735
-125.9,50,390.371533
-324.7,50,390.792804
-196.0,50,391.392492
-103.0,50,392.506233
-143.3,50,392.9472
-102.1,50,393.432936
-255.8,50,394.597515
-251.0,50,395.045935
-112.2,50,396.133184
-333.1,50,396.602632
-108.6,50,397.024363
-121.8,50,397.991789
-212.6,50,398.396598
-85.6,50,399.459142
-111.6,50,399.986726
-333.4,50,400.583046
-202.2,50,401.71623
-129.3,50,402.164174
-290.0,50,403.230259
-105.2,50,403.667476
-202.3,50,404.066297
-108.3,50,405.152703
-297.1,50,405.631512
-86.8,50,406.718454
-102.5,50,407.203338
-103.4,50,407.676919
-332.9,50,408.794783
-301.2,50,409.270694
-90.1,50,409.752049
-134.6,50,410.680366
-88.2,50,411.0693
-107.7,50,412.045993
-99.2,50,412.458647
-266.6,50,412.866097
-302.8,50,413.816057
-334.2,50,414.244784
-133.6,50,415.220301
-170.6,50,415.63999
-146.0,50,416.113605
-327.0,50,417.085442
-113.0,50,417.63588
-96.6,50,418.768114
-63.2,50,419.18863
-83.6,50,419.822653
-135.2,50,420.797474
-71.9,50,421.240435
-76.1,50,421.640832
-87.8,50,422.596837
-322.3,50,423.004161
-99.9,50,424.021748
-74.9,50,424.679439
-310.4,50,425.120412
-218.5,50,426.147724
-322.5,50,426.558694
-90.1,50,427.61566
-103.1,50,428.073214
-318.5,50,428.478445
-235.0,50,429.522245
-103.8,50,429.987823
-108.7,50,430.938119
-110.2,50,431.45848
-235.8,50,431.961016
-134.5,50,432.928397
-86.3,50,433.3728
-323.1,50,434.448919
-390.1,50,434.897024
-136.3,50,435.348341
-157.7,50,436.180001
-102.1,50,436.634244
-107.7,50,437.050532
-311.4,50,437.970869
-136.4,50,438.510012
-159.5,50,439.451549
-90.7,50,439.827146
-96.7,50,440.212596
-83.6,50,441.209146
-274.4,50,441.6001
-255.0,50,442.496843
-246.0,50,442.891122
-151.9,50,443.26869
-87.5,50,444.233001
-96.5,50,444.680271
-329.4,50,445.693712
-83.0,50,446.114139
-100.3,50,446.520181
-79.4,50,447.589096
-274.9,50,448.13334
-105.3,50,449.072352
-217.1,50,449.549339
-283.9,50,450.043403
-204.5,50,451.093177
-247.9,50,451.557181
-98.5,50,452.008126
-142.5,50,452.996168
-297.5,50,453.413032
-105.1,50,454.383068
-314.2,50,454.819053
-138.6,50,455.265241
-97.7,50,456.195801
-188.0,50,456.592437
-118.5,50,457.670307
-318.0,50,458.118983
-110.0,50,458.524559
-193.9,50,459.479401
-300.5,50,459.87926
-202.5,50,460.805424
-121.9,50,461.20359
-128.9,50,461.613718
-213.0,50,462.426344
-224.6,50,462.821196
-109.9,50,463.240468
-77.0,50,464.13534
-122.3,50,464.551791
-320.0,50,465.44433
-113.7,50,465.952507
-296.4,50,466.356344
-72.4,50,467.304473
